                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.75131,                0.42579,                 1.0491,                0.94786,                 0.8774,                0.91091,                0.76822,                0.78082,                0.61285,                 1.0362,              2.795e-05,              2.795e-05,              2.795e-05
                     90,                0.74964,                0.42462,                 1.0452,                0.95361,                0.87138,                0.91005,                0.76669,                0.78568,                0.62002,                 1.0349,             2.5801e-05,             2.5801e-05,             2.5801e-05
                     91,                0.81416,                0.34007,                 1.1288,                0.95723,                0.86615,                0.90603,                0.76044,                0.77116,                 0.5815,                 1.0387,             2.3653e-05,             2.3653e-05,             2.3653e-05
                     92,                0.79958,                0.33504,                 1.1277,                0.95563,                0.86643,                0.90864,                0.76431,                0.76498,                0.59432,                 1.0324,             2.1505e-05,             2.1505e-05,             2.1505e-05
                     93,                0.78216,                0.32983,                 1.1071,                0.95256,                0.87062,                0.90918,                0.76354,                0.77828,                0.58989,                 1.0376,             1.9356e-05,             1.9356e-05,             1.9356e-05
                     94,                0.76803,                0.32638,                 1.0937,                0.95102,                0.86761,                0.90897,                0.76553,                0.78742,                0.60717,                 1.0441,             1.7208e-05,             1.7208e-05,             1.7208e-05
                     95,                0.76431,                0.32037,                 1.0924,                0.95256,                0.86584,                0.91015,                0.76801,                0.78441,                0.61471,                 1.0381,              1.506e-05,              1.506e-05,              1.506e-05
                     96,                0.75358,                0.32003,                 1.0898,                0.95576,                0.86366,                0.90819,                0.76363,                0.79153,                0.61536,                  1.045,             1.2912e-05,             1.2912e-05,             1.2912e-05
                     97,                0.75294,                0.32242,                 1.0887,                0.95531,                0.86488,                0.90876,                0.76362,                0.79083,                0.61441,                 1.0451,             1.0763e-05,             1.0763e-05,             1.0763e-05
                     98,                  0.744,                0.31678,                 1.0803,                0.95346,                 0.8671,                0.90946,                0.76523,                0.78316,                0.61382,                 1.0363,             8.6149e-06,             8.6149e-06,             8.6149e-06
                     99,                0.75156,                0.32072,                 1.0882,                0.95567,                 0.8664,                0.90993,                0.76543,                0.78598,                0.61207,                 1.0383,             6.4666e-06,             6.4666e-06,             6.4666e-06
                    100,                0.73704,                0.31511,                 1.0746,                0.95618,                0.86589,                0.90968,                0.76543,                0.78485,                0.61578,                 1.0384,             4.3183e-06,             4.3183e-06,             4.3183e-06
